paper_id,doi,title,candidate_url,candidate_source_type,attempt_order,download_status,http_status,final_url,content_type,content_length,saved_pdf_path,pdf_validated,failure_reason,access_note,download_time
paper_0158,10.1021/acscatal.6b01133,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,https://pubs.acs.org/doi/pdf/10.1021/acscatal.6b01133,acs_pdf,1,forbidden_or_login_required,403,https://pubs.acs.org/doi/pdf/10.1021/acscatal.6b01133,text/html; charset=UTF-8,5606,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:36:13+08:00
paper_0158,10.1021/acscatal.6b01133,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,https://doi.org/10.1021/acscatal.6b01133,doi_resolver_for_pdf_discovery,2,forbidden_or_login_required,403,https://pubs.acs.org/doi/10.1021/acscatal.6b01133,text/html; charset=UTF-8,5594,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:36:14+08:00
paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,https://pubs.acs.org/doi/pdf/10.1021/acscatal.5b01221,acs_pdf,1,forbidden_or_login_required,403,https://pubs.acs.org/doi/pdf/10.1021/acscatal.5b01221,text/html; charset=UTF-8,5606,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:36:18+08:00
paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,https://doi.org/10.1021/acscatal.5b01221,doi_resolver_for_pdf_discovery,2,forbidden_or_login_required,403,https://pubs.acs.org/doi/10.1021/acscatal.5b01221,text/html; charset=UTF-8,5594,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:36:19+08:00
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,https://pubs.rsc.org/en/content/articlepdf/2021/ta/d0ta11359j,rsc_pdf,1,not_pdf_html,200,https://pubs.rsc.org/en/content/articlelanding/2021/ta/d0ta11359j/unauth,text/html; charset=utf-8,163712,,no,response_not_valid_pdf,Server returned HTML rather than a PDF.,2026-04-28T15:36:21+08:00
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,https://pubs.rsc.org/en/content/articlepdf/2021/d0ta11359j,publisher_pdf_candidate,2,http_error,404,https://pubs.rsc.org/en/content/articlepdf/2021/d0ta11359j,text/html; charset=utf-8,27717,,no,http_404,,2026-04-28T15:36:49+08:00
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,https://doi.org/10.1039/d0ta11359j,existing_manifest_url,3,not_pdf_html,200,https://pubs.rsc.org/en/content/articlelanding/2021/ta/d0ta11359j,text/html; charset=utf-8,163705,,no,response_not_valid_pdf,Server returned HTML rather than a PDF.,2026-04-28T15:36:56+08:00
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,https://pubs.rsc.org/en/content/articlelanding/2021/ta/d0ta11359j,existing_manifest_url,4,not_pdf_html,200,https://pubs.rsc.org/en/content/articlelanding/2021/ta/d0ta11359j,text/html; charset=utf-8,163705,,no,response_not_valid_pdf,Server returned HTML rather than a PDF.,2026-04-28T15:37:15+08:00
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",https://www.sciencedirect.com/science/article/pii/S0378382025001493/pdfft?isDTMRedir=true&download=true,sciencedirect_pdf_from_resolved_pii,1,forbidden_or_login_required,403,https://www.sciencedirect.com/science/article/pii/S0378382025001493/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:37:38+08:00
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",https://doi.org/10.1016/j.fuproc.2025.108325,openalex_landing_or_oa_url,2,redirect_or_gate_html,200,https://linkinghub.elsevier.com/retrieve/pii/S0378382025001493,text/html;charset=UTF-8,2769,,no,response_not_valid_pdf,HTML page appears to be redirect/gate content.,2026-04-28T15:37:41+08:00
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",https://www.sciencedirect.com/science/article/pii/j.fuproc.2025.108325/pdfft?isDTMRedir=true&download=true,sciencedirect_pdf_from_doi_suffix,3,forbidden_or_login_required,403,https://www.sciencedirect.com/science/article/pii/j.fuproc.2025.108325/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:37:42+08:00
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",https://linkinghub.elsevier.com/retrieve/pii/S0378382025001493,existing_manifest_url,4,redirect_or_gate_html,200,https://linkinghub.elsevier.com/retrieve/pii/S0378382025001493,text/html;charset=UTF-8,2769,,no,response_not_valid_pdf,HTML page appears to be redirect/gate content.,2026-04-28T15:37:43+08:00
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://www.sciencedirect.com/science/article/pii/S092633731000473X/pdfft?isDTMRedir=true&download=true,sciencedirect_pdf_from_resolved_pii,1,forbidden_or_login_required,403,https://www.sciencedirect.com/science/article/pii/S092633731000473X/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:37:44+08:00
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://www.sciencedirect.com/science/article/pii/j.apcatb.2010.10.026/pdfft?isDTMRedir=true&download=true,sciencedirect_pdf_from_doi_suffix,2,forbidden_or_login_required,403,https://www.sciencedirect.com/science/article/pii/j.apcatb.2010.10.026/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,no,http_403,Publisher did not provide PDF to this HTTP session; no bypass attempted.,2026-04-28T15:37:45+08:00
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://doi.org/10.1016/j.apcatb.2010.10.026,existing_manifest_url,3,redirect_or_gate_html,200,https://linkinghub.elsevier.com/retrieve/pii/S092633731000473X,text/html;charset=UTF-8,2746,,no,response_not_valid_pdf,HTML page appears to be redirect/gate content.,2026-04-28T15:37:46+08:00
