paper_id,title,first_author,publication_year,journal,doi,document_type,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,priority_rationale,screening_notes,exclude_reason,old_final_priority_label
paper_0080,Effect of Ce<sub><i>x</i></sub>Zr<sub>1-<i>x</i></sub>O<sub>2</sub> Promoter on Ni-Based SBA-15 Catalyst for Steam Reforming of Methane,Kai Wang,2008.0,Energy & Fuels,10.1021/ef800553b,journal_article,2025,5.3,,manual_lookup,no,95,80,55,72.0,yes,no,yes,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0151,Ni/TiO2 for low temperature steam reforming of methane,Ee Teng Kho,2015.0,Chemical Engineering Science,10.1016/j.ces.2015.10.021,journal_article,2025,4.3,,manual_lookup,no,95,70,55,70.0,yes,yes,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含条件字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0047,Steam reforming of methane over nickel catalysts at low reaction temperature,Yasuyuki Matsumura,2003.0,Applied Catalysis A General,10.1016/j.apcata.2003.08.009,journal_article,2025,4.8,,manual_lookup,no,95,70,55,70.0,yes,yes,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含条件字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0053,Catalytic activities and coking resistance of Ni/perovskites in steam reforming of methane,Kohei Urasaki,2005.0,Applied Catalysis A General,10.1016/j.apcata.2005.02.020,journal_article,2025,4.8,,manual_lookup,no,95,65,55,69.0,yes,no,yes,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0058,"Methane steam reforming over Ni/Ce–ZrO2 catalyst: Influences of Ce–ZrO2 support on reactivity, resistance toward carbon formation, and intrinsic reaction kinetics",Navadol Laosiripojana,2005.0,Applied Catalysis A General,10.1016/j.apcata.2005.05.026,journal_article,2025,4.8,,manual_lookup,no,95,65,55,69.0,yes,no,yes,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0185,A Short Review on Ni Based Catalysts and Related Engineering Issues for Methane Steam Reforming,Eugenio Meloni,2020.0,Catalysts,10.3390/catal10030352,review,2024,4.0,Q2,manual_lookup,no,95,55,55,67.0,yes,no,yes,review仅作背景参考；期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含性能字段,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0155,Steam reforming of methane over Ni/SiO2 catalyst with enhanced coke resistance at low steam to methane ratio,Yao Zhang,2015.0,Catalysis Today,10.1016/j.cattod.2015.01.016,journal_article,2025,5.3,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0137,New synthesis strategies for Ni/Al2O3-Sil-1 core–shell catalysts for steam reforming of methane,Jian Zhang,2013.0,Catalysis Today,10.1016/j.cattod.2013.10.068,journal_article,2025,5.3,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0105,Kinetic of methane steam reforming reaction over nickel- and rhodium-based catalysts,M. Zeppieri,2010.0,Applied Catalysis A General,10.1016/j.apcata.2010.08.017,journal_article,2025,4.8,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0096,Steam reforming of methane to hydrogen over Ni-based metal monolith catalysts,Pingyi Wu,2009.0,Catalysis Today,10.1016/j.cattod.2009.01.031,journal_article,2025,5.3,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0040,Hydrogen from step-wise steam reforming of methane over Ni/ZrO2: factors affecting catalytic methane decomposition and gasification by steam of carbon formed on the catalyst,Choudhary,2002.0,Applied Catalysis A: General,10.1016/s0926-860x(02)00232-6,journal_article,2025,4.8,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0029,Kinetics of internal steam reforming of methane on Ni/YSZ-based anodes for solid oxide fuel cells,Khaliq Ahmed,2000.0,Catalysis Today,10.1016/s0920-5861(00)00494-6,journal_article,2025,5.3,,manual_lookup,no,95,50,55,66.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0171,Dual‐Function Cobalt–Nickel Nanoparticles Tailored for High‐Temperature Induction‐Heated Steam Methane Reforming,Morten G. Vinum,2018.0,Angewandte Chemie International Edition,10.1002/anie.201804832,journal_article,,,,,yes,95,100,0,48.5,yes,yes,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0128,Perovskite NaCeTi<sub>2</sub>O<sub>6</sub>‐Supported Ni Catalysts for CH<sub>4</sub> Steam Reforming,Shenghong Zhang,2012.0,ChemCatChem,10.1002/cctc.201200239,journal_article,,,,,yes,95,100,0,48.5,yes,yes,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0093,Ni@SiO<sub>2</sub>yolk-shell nanoreactor catalysts: High temperature stability and recyclability,Ji Chan Park,2009.0,Journal of Materials Chemistry,10.1039/b918446e,journal_article,,,,,yes,95,100,0,48.5,yes,yes,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0078,A Plate-Type Anodic Alumina Supported Nickel Catalyst for Methane Steam Reforming,Lu Zhou,2008.0,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,10.1252/jcej.07we182,journal_article,,,,,yes,95,100,0,48.5,yes,yes,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0002,Mechanism of the steam reforming of methane over a coprecipitated nickel-alumina catalyst,J.R.H. Ross,1973.0,Journal of the Chemical Society Faraday Transactions 1 Physical Chemistry in Condensed Phases,10.1039/f19736900010,journal_article,,,,,yes,95,85,0,45.5,yes,yes,no,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0119,Progresses in the Preparation of Coke Resistant Ni‐based Catalyst for Steam and CO<sub>2</sub> Reforming of Methane,Changjun Liu,2011.0,ChemCatChem,10.1002/cctc.201000358,journal_article,,,,,yes,95,80,0,44.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
paper_0206,Nickel based catalysts supported on porous support for methane steam reforming: potential and short review,Mawar Hasyikin Abu Seman,2023.0,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1151/1/012061,review,,,,,yes,95,75,0,43.5,yes,yes,yes,review仅作背景参考；期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0209,Syngas production via combined dry and steam reforming methane over Ni-based catalyst: A review,S.F. AHMAD,2023.0,Materials research proceedings,10.21741/9781644902516-3,review,,,,,yes,95,75,0,43.5,yes,yes,yes,review仅作背景参考；期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0108,Study on Ni-based monolithic catalysts modified with La for steam reforming of methane,Dawen Wang,2010.0,Natural Gas Chemical Industry,,journal_article,,,,,yes,95,70,0,42.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0134,Effect of Nickel-Alumina Nanoparticle Catalyst on the Performance of Methane Steam Reforming Process,Rohani,2013.0,American Journal of Nanoscience and Nanotechnology,10.11648/j.nano.20130103.13,journal_article,,,,,yes,95,65,0,41.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0051,A Comparison of Oxygen-vacancy Effect on Activity Behaviors of Carbon Dioxide and Steam Reforming of Methane over Supported Nickel Catalysts,Ta-Jen Huang,2005.0,Catalysis Letters,10.1007/s10562-005-8697-2,journal_article,,,,,yes,95,65,0,41.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0039,Highly Active and Stable All-Round Catalyst for Methane Reforming Reactions: Ni/Ce-ZrO<sub>2</sub>/θ-Al<sub>2</sub>O<sub>3</sub>,"Rho, Hyun-Seog;Jun, Ki-Won;Baek, Seung-Chan;Park, Sang-Eon;",2002.0,Bulletin of the Korean Chemical Society,10.5012/bkcs.2002.23.6.793,journal_article,,,,,yes,95,65,0,41.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0013,"Methane steam reforming, methanation and water‐gas shift: I. Intrinsic kinetics",Jianguo Xu,1989.0,AIChE Journal,10.1002/aic.690350109,journal_article,,,,,yes,95,65,0,41.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0008,"Activity, FTIR studies and catalyst characterization during methane steam reforming on Ni/Y-zeolite catalysts",Al-Ubaid,1987.0,Applied Catalysis,10.1016/s0166-9834(00)82450-1,journal_article,,,,,yes,95,65,0,41.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0204,Nanoparticle Mobility and Coalescence During Sintering of a Ni/MgAl2O4 Methane Steam Reforming Catalyst,Hansen,2023.0,Microscopy and Microanalysis,10.1093/micmic/ozad067.831,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0205,Ni/Al2O3 supported on cordierite monoliths for methane steam reforming: Influence of catalyst coating methodology,Pereira,2023.0,Catalysis Communications,10.1016/j.catcom.2023.106759,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0195,"Ni/LaBO3 (B = Al, Cr, Fe) Catalysts for Steam Reforming of Methane (SRM): On the Interaction Between Ni and LaBO3 Perovskites with Differed Fine Structures",Menghe Yang,2021.0,Catalysis Surveys from Asia,10.1007/s10563-021-09343-7,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0187,Kinetics of steam reforming of methane on Rh–Ni/MgAl2O4 catalyst,Katheria,2020.0,"Reaction Kinetics, Mechanisms and Catalysis",10.1007/s11144-020-01767-y,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0136,Methane Steam Reforming Kinetics on a Ni/Mg/K/Al2O3 Catalyst,Robinson,2013.0,Topics in Catalysis,10.1007/s11244-013-0106-2,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0111,Carbon formation and steam reforming of methane on silica supported nickel catalysts,Xueyan Guo,2011.0,Catalysis Communications,10.1016/j.catcom.2011.12.031,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
